split_id,train_start,train_end,test_start,test_end,accuracy,strategy_return,market_return,win_rate,max_drawdown,num_trades
0,2007-02-16 00:00:00,2008-04-10 00:00:00,2008-04-11 00:00:00,2008-08-28 00:00:00,0.48,-0.05696712038268259,-0.07016322915348638,0.3333333333333333,-0.0751295319328441,63
1,2007-07-06 00:00:00,2008-08-28 00:00:00,2008-08-29 00:00:00,2009-01-15 00:00:00,0.53,-0.0232063549886955,-0.1055824415513601,0.06060606060606061,-0.032632678532117584,12
2,2007-11-23 00:00:00,2009-01-15 00:00:00,2009-01-16 00:00:00,2009-06-04 00:00:00,0.63,-0.008979325806577121,0.06835996382273102,0.0707070707070707,-0.017181827441112033,12
3,2008-04-11 00:00:00,2009-06-04 00:00:00,2009-06-05 00:00:00,2009-10-22 00:00:00,0.5,0.02028858424047364,0.07627847013321953,0.1414141414141414,-0.027545854685994527,25
4,2008-08-29 00:00:00,2009-10-22 00:00:00,2009-10-23 00:00:00,2010-03-11 00:00:00,0.49,-0.027557218891807733,-0.08849203704937725,0.25252525252525254,-0.06475227284640538,52
5,2009-01-16 00:00:00,2010-03-11 00:00:00,2010-03-12 00:00:00,2010-07-29 00:00:00,0.48,-0.04612194168113992,-0.04982930195394708,0.1111111111111111,-0.062215034388888375,26
6,2009-06-05 00:00:00,2010-07-29 00:00:00,2010-07-30 00:00:00,2010-12-16 00:00:00,0.51,-0.036777189202246596,0.014636015325669494,0.12121212121212122,-0.07472054693811293,28
7,2009-10-23 00:00:00,2010-12-16 00:00:00,2010-12-17 00:00:00,2011-05-05 00:00:00,0.46,0.004960684975351848,0.10267687874421894,0.06060606060606061,-0.018155778275297917,10
8,2010-03-12 00:00:00,2011-05-05 00:00:00,2011-05-06 00:00:00,2011-09-22 00:00:00,0.41,-0.09881812389514322,-0.06019132742126876,0.12121212121212122,-0.1081770470613005,31
9,2010-07-30 00:00:00,2011-09-22 00:00:00,2011-09-23 00:00:00,2012-02-09 00:00:00,0.56,0.07292893838804426,-0.015853026150086102,0.2828282828282828,-0.022349649665336778,43
10,2010-12-17 00:00:00,2012-02-09 00:00:00,2012-02-10 00:00:00,2012-06-28 00:00:00,0.43,-0.040931789880578995,-0.057214307365868966,0.24242424242424243,-0.06041199866301865,60
11,2011-05-06 00:00:00,2012-06-28 00:00:00,2012-06-29 00:00:00,2012-11-15 00:00:00,0.58,-0.003293322700133161,0.009399684044233414,0.020202020202020204,-0.009177292292698905,5
12,2011-09-23 00:00:00,2012-11-15 00:00:00,2012-11-16 00:00:00,2013-04-04 00:00:00,0.46,0.00318402661410655,0.015070643642074,0.010101010101010102,-0.00010000000000004252,1
13,2012-02-10 00:00:00,2013-04-04 00:00:00,2013-04-05 00:00:00,2013-08-22 00:00:00,0.4,-0.02125864618785711,0.028177688813612933,0.0,-0.02125864618785711,5
